Run #,BSH enzyme,Inhibitor,Replicate,Sample ID,TUDCA,TCDCA,TDCA,TCA,TLCA,GUDCA,GCDCA,GDCA,GCA,GLCA,CA d4,CDCA d4,DCA d4
Run 4,A,XIII,1,A-XIII-1,0.073499,0.054608,0.170661,0.040059,0.015418,0.266914,0.050931,0.061978,3.61507,0.007541,0.02367,0.020556,0.027992
Run 4,A,XIII,2,A-XIII-2,0.123282,0.155666,0.188799,0.044208,0.03865,0.065792,0.057101,0.073803,4.045195,0.015298,0.019782,0.021654,0.030521
Run 4,A,XIII,3,A-XIII-3,0.096893,0.054259,0.169706,0.039409,0.025261,0.044129,0.053202,0.070601,3.257933,0.013682,0.020818,0.022561,0.031455
Run 4,B,NI,1,B-NI-1,0.022433,0.012565,0.024237,0.052028,0.010566,0.885523,0.084572,0.591003,8.877751,0.009983,0.023504,0.021951,0.029952
Run 4,B,NI,2,B-NI-2,0.0229,0.013987,0.033061,0.03454,0.011049,0.770927,0.087751,0.581339,8.545962,0.011785,0.023962,0.019381,0.029925
Run 4,B,NI,3,B-NI-3,0.037626,0.021272,0.038648,0.042523,0.010146,5.371125,0.091122,0.759565,9.408986,0.017093,0.022993,0.021154,0.02991
Run 4,B,XI,1,B-XI-1,0.031066,0.022557,0.073612,0.041444,0.009718,4.804458,0.052607,0.563762,8.571433,0.011391,0.026688,0.025203,0.032656
Run 4,B,XI,2,B-XI-2,0.026831,0.016517,0.0252,0.049071,0.009225,3.40003,0.040493,0.408619,7.446857,0.007593,0.024721,0.020985,0.034474
Run 4,B,XI,3,B-XI-3,0.116646,0.048665,0.075528,0.070878,0.012388,1.327333,0.050005,0.493309,8.186477,0.007737,0.026049,0.023032,0.034446
Run 4,B,XII,1,B-XII-1,0.019232,0.024544,0.039723,0.031674,0.010835,0.008047,0.057755,0.407465,7.863832,0.011465,0.023227,0.022825,0.033224
Run 4,B,XII,2,B-XII-2,0.030221,0.020772,0.052149,0.060898,0.008993,0.047302,0.054501,0.534693,7.888255,0.006966,0.026006,0.025345,0.035135
Run 4,B,XII,3,B-XII-3,0.172209,0.066098,0.101214,0.081413,0.014866,0.036373,0.078562,0.510974,7.377664,0.012502,0.023768,0.025381,0.031922
Run 4,B,XIII,1,B-XIII-1,0.045162,0.034835,0.071435,0.039907,0.014212,0.018919,0.059136,0.478324,8.714036,0.011379,0.022211,0.022065,0.032355
Run 4,B,XIII,2,B-XIII-2,0.020763,0.014354,0.054718,0.029102,0.010355,0.082932,0.058014,0.385507,8.946835,0.007895,0.022817,0.021145,0.030228
Run 4,B,XIII,3,B-XIII-3,0.022545,0.016587,0.067317,0.027699,0.012349,0.220353,0.055217,0.556937,9.177222,0.008467,0.02272,0.018094,0.027564
Run 4,F,NI,1,F-NI-1,0.082397,0.02375,0.06339,0.028828,0.007655,0.926876,0.012608,0.003892,0.004669,0.005461,0.025324,0.028317,0.039434
Run 4,F,NI,2,F-NI-2,0.124214,0.029751,0.091227,0.031947,0.01042,0.231016,0.009165,0.011326,0.005538,0.005732,0.023448,0.027114,0.035438
Run 4,F,NI,3,F-NI-3,0.143251,0.041473,0.109805,0.037322,0.00851,1.834025,0.008471,0.013367,0.008117,0.009954,0.028765,0.027811,0.037448
Run 4,F,XI,1,F-XI-1,0.312786,0.141556,0.212678,0.105145,0.011109,0.669296,0.022242,0.023617,0.036581,0.007316,0.02271,0.022448,0.029834
Run 4,F,XI,2,F-XI-2,0.601172,0.21505,0.288176,0.1841,0.01551,1.315497,0.029354,0.034333,0.078855,0.009136,0.02153,0.021786,0.027439
Run 4,F,XI,3,F-XI-3,0.276364,0.115345,0.156462,0.093726,0.009216,0.898441,0.021789,0.015233,0.025222,0.008755,0.02297,0.025953,0.033519
Run 4,F,XII,1,F-XII-1,0.067649,0.032295,0.053158,0.014499,0.005903,0.165086,0.004735,0.005139,0.004528,0.00364,0.042143,0.068974,0.088193
