"BSH_Enzyme","Inhibitor","Bile_Acid","Run","Replicate","log2_concentration","fitted_value","fitted_se","enzyme_baseline","enzyme_inhibitor_interaction","enzyme_bileacid_interaction","inhibitor_potency","ci_lwr","ci_upr","inhibitor_baseline"
"F","XII","GUDCA","Run 4","1",-2.48915856536273,-0.161157337111227,0.760926204888639,1.89679174312983,0.35609867137688,2.38255487249532,1.54069307175295,-1.65331411376985,1.32951660939361,-9.60678766062735
"F","XII","GUDCA","Run 4","2",-5.20914739305155,-0.165448368661418,0.766606992808042,1.89679174312983,0.35609867137688,2.38255487249532,1.54069307175295,-1.66901793805037,1.33608147375716,-9.60678766062735
"F","XII","GUDCA","Run 4","3",-3.84120340447462,-0.145294747880942,0.771306182395701,1.89679174312983,0.35609867137688,2.38255487249532,1.54069307175295,-1.66415118410562,1.35936905088552,-9.60678766062735
"F","XII","TCA","Run 4","1",-0.991517349859149,-2.04004630582282,0.759151920193422,1.89679174312983,0.35609867137688,1.71436786298392,1.54069307175295,-3.57846174115827,-0.602586214000052,-9.60678766062735
"F","XII","TCA","Run 4","2",-0.828405081851465,-2.04433733737301,0.7623223557445,1.89679174312983,0.35609867137688,1.71436786298392,1.54069307175295,-3.59335667772079,-0.605053043202352,-9.60678766062735
"F","XII","TCA","Run 4","3",-1.06216376954361,-2.02418371659254,0.760834126401007,1.89679174312983,0.35609867137688,1.71436786298392,1.54069307175295,-3.55498058068542,-0.572510805193471,-9.60678766062735
"F","XII","TCDCA","Run 4","1",0.443383306782717,-1.20663998354714,0.733927999414505,1.89679174312983,0.35609867137688,2.3573996067896,1.54069307175295,-2.62195386716536,0.255043890539496,-9.60678766062735
"F","XII","TCDCA","Run 4","2",0.507344284076245,-1.21093101509733,0.734387739993617,1.89679174312983,0.35609867137688,2.3573996067896,1.54069307175295,-2.62650501238768,0.252294928387298,-9.60678766062735
"F","XII","TCDCA","Run 4","3",0.288760098372294,-1.19077739431685,0.735897326583093,1.89679174312983,0.35609867137688,2.3573996067896,1.54069307175295,-2.62857832169318,0.256139198512543,-9.60678766062735
"F","XII","TDCA","Run 4","1",-0.253968441866766,-1.59265800094881,0.757198094800468,1.89679174312983,0.35609867137688,1.7360713223656,1.54069307175295,-3.13634082633508,-0.168124294717242,-9.60678766062735
